Site,Sample depth,Age,Mg/Ca,Mg/Ca adj,Species,Paleodepth,Reference
DSDP607,43.4,1.059,1.31,1.8,Cibicidoides wuellerstorfi,3417,SosdianRosenthal09
DSDP607,43.7,1.067,1.59,2.19,Cibicidoides wuellerstorfi,3417,SosdianRosenthal09
DSDP607,43.8,1.07,1.71,2.36,Cibicidoides wuellerstorfi,3417,SosdianRosenthal09
DSDP607,44,1.076,1.75,2.42,Cibicidoides wuellerstorfi,3416,SosdianRosenthal09
ODP0747,,1.077,1.28,1.51,Cibicidoides wuellerstorfi,1697,BillupsSchrag02
DSDP607,44.2,1.079,1.58,2.18,Cibicidoides wuellerstorfi,3416,SosdianRosenthal09
ODP0926,37.76,1.079,1.2,1.69,Cibicidoides wuellerstorfi,3613,LearRosenthalWright03
ODP0926,37.76,1.079,1.1,1.54,Cibicidoides wuellerstorfi,3613,LearRosenthalWright03
ODP0926,37.76,1.079,1.45,1.63,Oridorsalis umbonatus,3613,LearRosenthalWright03
ODP0926,37.76,1.079,1.21,1.39,Oridorsalis umbonatus,3613,LearRosenthalWright03
